text,label,reason,lang_is_en
i feel funny again,5,non_english; ,False
i feel like that s not ok,1,non_english; ,False
i feel slutty oh oh,2,non_english; ,False
im starting to feel like a useless old man,0,non_english; ,False
i do not feel so pressured to make a painting,4,non_english; ,False
i feel like having some sweet stuff to cheer myself up,2,duplicate_text; ,True
i didnt even feel scared,4,non_english; ,False
i get the feeling he is a lovely guy and i m very happy to see him do so well at atletico,2,duplicate_text; ,True
i feel so grumpy and tired,3,non_english; ,False
i feel miserable i just look at her and feel immensely and overwhelmingly blessed,0,non_english; ,False
i feel akward not depressed,0,non_english; ,False
i feel so horny,2,non_english; ,False
i feel like im selfish,3,duplicate_text; non_english; ,False
i feel like i cannot really speak my mind or be vulnerable,4,non_english; ,False
i feel enraged img src http www,3,non_english; ,False
i think im feeling withdrawals from the conference is that weird,4,duplicate_text; ,True
i feel it tragic,0,non_english; ,False
i have never been terminated before and it just feels bitter,3,non_english; ,False
i feel about miley cyrus anymore funny a href http www,5,non_english; ,False
i feel vulnerable an,4,non_english; ,False
i felt feel very loved,2,non_english; ,False
i feel pressured i feel claustrophobic and i feel strange,4,non_english; ,False
i feel that i am eternally broke,0,non_english; ,False
i make you feel he looked stunned,5,non_english; ,False
i think im feeling withdrawals from the conference is that weird,5,duplicate_text; ,True
i do cold calling i feel drained and i need more alone time to recover,0,non_english; ,False
i kept sitting here feeling all morose,0,non_english; ,False
i feel overwhelmed by the raw beauty of it all and overwhelmed by the mass amount of poverty and problems,5,duplicate_text; ,True
i remember it i feel a bit shaken,4,non_english; ,False
i just feel jealous because you could go to japan,3,non_english; ,False
i asked feeling infuriated,3,non_english; ,False
i remember feeling completely overwhelmed by the desire of what i wanted to eat and how many calories id have to burn,5,duplicate_text; ,True
i feel hated i feel bad,3,non_english; ,False
i don t feel offended at all,3,non_english; ,False
i have a feeling target blank img src http www,0,non_english; ,False
im not afraid just feel strange some ppl treat me different now,5,duplicate_text; non_english; ,False
i feel hated a href http skydivevenezuela,3,non_english; ,False
i feel hot already,2,non_english; ,False
i was already starting to feel this strange sense of calm that i didnt feel before,4,duplicate_text; ,True
i picture myself having sex i feel disgusted,3,non_english; ,False
i feel passionate,2,non_english; ,False
i just feel like he s so talented,1,non_english; ,False
i feel fantastic a dir ltr href http www,1,non_english; ,False
i don t remember ever feeling so terrified,4,non_english; ,False
i feel as if i m in some strange catholic vortex,5,duplicate_text; ,True
i attempted to always have something available but the possibility that i might not get to eat for hours made me feel weird and anxious,4,duplicate_text; ,True
i don t like feeling afraid,4,non_english; ,False
i feel overwhelmed with happiness,4,duplicate_text; ,True
i was out the exit door feeling strange because at the last stage the entire thing seemed to slip out of my hands like a slippery fish and also hopeful that i know what to do and if i can look at it positively it means just one more trip to retry,5,duplicate_text; ,True
i feel like basketball twitter is this weird family of anti social people that really like to talk,5,duplicate_text; ,True
i feel weird wearing a fitted and lrg shirt now like i m trying to relive an era i already enjoyed,5,duplicate_text; ,True
i feel like i just broke into my own apartment,0,non_english; ,False
i havent really enjoyed having a to do list for each day because it was too difficult to achieve the things i wanted to and i would feel stressed that i couldnt do ordinary things like have a shower whenever i wanted or sit in the kitchen to eat dinner instead of in bed,0,duplicate_text; ,True
i feel curious,5,non_english; ,False
i feel afraid that dying will hurt a lot,4,non_english; ,False
i feel funny i feel really funny,5,non_english; ,False
i am feeling a bit out of touch with the currents of change which for some strange reason are very important to me,5,duplicate_text; ,True
i left feeling frustrated,3,non_english; ,False
i drink a lot of it but i never feel weird tired sick when i dont have any,5,duplicate_text; ,True
i feel like i fucked it all up really,3,non_english; ,False
i finally feel that we can exhale and focus on our beloved mamie till mobleys charge,1,duplicate_text; ,True
i feel blessed to have met scott,1,non_english; ,False
i feel submissive or not,0,non_english; ,False
i never get into it i feel some strange feeling to have control to see but at the same way no control at all i read at ruudt peters website don t lose control give it up and maybe that was the thought of this art piece but i wasn t ready for it to give it up,5,duplicate_text; ,True
i feel like i m terrible at anything and everything,0,non_english; ,False
i did cry and i did feel lonely,0,non_english; ,False
i need since i never know if im feeling sweet or savory anyway,1,duplicate_text; ,True
im feeling strangely discontent,0,non_english; ,False
i remember last summer feeling so overwhelmed,5,non_english; ,False
i feel ya bro catinabox oprah target blank img src http celebsr,0,non_english; ,False
i didn t feel like blogging after what happened to our beloved iloilo,2,non_english; ,False
i feel a little less frantic now,4,non_english; ,False
i can see in myself a lot of the older son i m angry at god the father not giving me what i want even though i feel that i ve been pretty faithful to him though i ve screwed up plenty,2,duplicate_text; ,True
i worked in the evenings so some nights russ would put the kids to bed and i would come home to them already sleeping which normally wouldnt be something that would cause me stress that emotion would be labeled as elation and feel tortured that i hadnt tucked them in,3,duplicate_text; ,True
i know sometimes you get overwhelmed being the oldest child and that you feel a lot of weight and pressure that comes with that job but you do such an amazing job of helping to take care of and play with your little brothers and sister,1,duplicate_text; ,True
i feel like doing something naughty,2,non_english; ,False
i feel much beloved,2,non_english; ,False
i feel funny if i dont do it or slack off,5,non_english; ,False
i didn t feel i belonged the movement felt very strange and it just wasn t me,5,duplicate_text; non_english; ,False
i feel like people look at me strange,5,non_english; ,False
im feel very amazed,5,non_english; ,False
i didnt feel liked or likable,2,non_english; ,False
i feel generous and decide to go out and take one for the team,2,duplicate_text; ,True
i feeling so gloomy,0,non_english; ,False
i run i feel amazing,5,non_english; ,False
i cant run are the days i feel weird,4,duplicate_text; ,True
i feel so loving to everyone and i am so grateful for everything i have,2,non_english; ,False
im still feeling a little stunned,5,non_english; ,False
i feel very weird about so much of my psychological safety coming from noah providing money,5,duplicate_text; ,True
i feel like being bitchy today,3,non_english; ,False
i do feel worthwhile,1,non_english; ,False
i am feeling funny today,5,non_english; ,False
i remember feeling strange energy when i was zapped,5,non_english; ,False
i love it all i was feeling overwhelmed and stressed out,5,duplicate_text; ,True
i havent even painted my nails in weeks which normally feels weird but those last couple of days i did not really care about my nails and i guess a break from nail polish remover doesnt hurt either,5,duplicate_text; ,True
i feel very mournful,0,non_english; ,False
i was feeling overwhelmed and not up to date with my tasks,5,duplicate_text; ,True
i feel like my hair managed to get more damaged in my sleep somehow,0,non_english; ,False
i feel selfish and selfless,3,non_english; ,False
i agreed many months ago and as the time got closer i was feeling a bit overwhelmed,5,duplicate_text; ,True
i could empathize and sympathize with others i simply could not take on any more hurt or loss while i was feeling so overwhelmed with my own,5,duplicate_text; ,True
im feeling some hostile vibes here,3,non_english; ,False
i feel so offended sometimes i feel so lonely,3,non_english; ,False
i feel less enraged,3,non_english; ,False
i feel the satisfaction that i am supporting linux in its various forms,2,duplicate_text; ,True
i just wanted the world to feel strange to me again,4,duplicate_text; ,True
i began to feel eager to leave i felt uncomfortable like an elevator at rush hour,1,non_english; ,False
i just feel that hes just so prejudiced lah,0,non_english; ,False
i feel strange if i don t offer guest water,5,duplicate_text; ,True
i feel really weird,5,duplicate_text; non_english; ,False
i begin to feel that strange sense of awe,4,duplicate_text; ,True
i feel that mulberries might not be subjected too badly to strange weather,5,duplicate_text; ,True
i feel like my lymph nodes are tender,2,non_english; ,False
i would like to think i do understand the difference and regurgitating the class lecture is actually how i made my points and what i feel is supporting my case,1,duplicate_text; ,True
i feel utterly helpless,4,non_english; ,False
i didnt leave feeling impressed,5,non_english; ,False
i feel like an awful parent,0,non_english; ,False
i feel like i learn more when i m listening to someone who is passionate about what they talk about,2,duplicate_text; ,True
i was feeling a bit strange as it was then to have a mushroom on my head,4,duplicate_text; ,True
i always feeling strange internal feeling like continuous wailing of siren in my head and when nobody hears i couldnt help crying like a siren when no one heard,4,duplicate_text; ,True
i feel damaged now,0,non_english; ,False
i feel when i get to technique with things it comes out strange,5,duplicate_text; ,True
i am not part of their email list i feel that says a lot i am on everyone elses email lists so i get these complaint emails from their neighbors who think there is something strange going on here,5,duplicate_text; ,True
i feel i can do anything yume ni egaku sekai o kimi no me no mae ni hirogetai dakara kowakunai yo ashita mo my beloved season calls me,2,non_english; ,False
i kept feeling strange like my seizure are coming back,5,duplicate_text; non_english; ,False
im feeling a little bit delicate still,2,non_english; ,False
i always feeling strange internal feeling like continuous wailing of siren in my head and when nobody hears i couldnt help crying like a siren when no one heard,5,duplicate_text; ,True
i feel so numb insecure so vulnerable,0,non_english; ,False
i didn t feel annoyed at all,3,non_english; ,False
i feel overwhelmed and i feel stressed,5,non_english; ,False
i still feel a bit strange,4,non_english; ,False
i bought gifts to take home feeling like i was supporting the local economy,1,duplicate_text; ,True
i feel like a heartless jerk,3,non_english; ,False
i feel you beloved star master,2,non_english; ,False
i wasnt feeling too keen myself,1,non_english; ,False
i feel a little ludicrous like george michael bluth were engaged to be engaged,5,duplicate_text; ,True
i feel is very considerate of him especially given that apollo the usual objectified eye candy is sadly fully clothed for the whole ep,2,duplicate_text; ,True
i am ashamed to say i have not achieved this with some people and proud to know i can never judge you nor feel agitated about anything you do or say,4,duplicate_text; ,True
i covered myself from feeling too overwhelmed by the idea by going into partnership with a friend,4,duplicate_text; ,True
i still just feel lost,0,non_english; ,False
i feel relieved and invigorated,1,non_english; ,False
i don t feel valued or useful,1,non_english; ,False
i feel kind of strange saying that because i have no idea what i am doing,5,duplicate_text; ,True
i feel like anytime i ask my husband to do something he gets all irritable frustrated,3,non_english; ,False
i tekan kat button im feeling lucky tue,1,non_english; ,False
i feel valued makes me happy,1,non_english; ,False
i feel like i have been neglecting my blog and ignoring my faithful readers,2,non_english; ,False
i feel strange about writing this post,4,duplicate_text; ,True
i wear pointy heels i feel brave,1,non_english; ,False
i got back to my castle i realised why i was feeling weird i hadn t taken my medication,5,duplicate_text; ,True
i feel vulnerable and afraid,4,non_english; ,False
i don t feel it it doesnt hurt,0,non_english; ,False
i tend to feel slightly slutty,2,non_english; ,False
i feel so outraged,3,non_english; ,False
i regret telling you what i feel yes i may feel paranoid but could you blame me for it,4,non_english; ,False
i realise i have friends i feel surprised,5,non_english; ,False
i feel pretty tortured because i work a job and often the inspiration strikes while im at work,4,duplicate_text; ,True
i do not feel brave,1,non_english; ,False
i feel fall coming on i get frantic,4,non_english; ,False
i feel so horny horny,2,non_english; ,False
i feeling tortured,4,non_english; ,False
i feel divine today,1,non_english; ,False
i feel so amazing and i m so proud of myself so far,5,duplicate_text; ,True
i just feel like a savage some beast,3,non_english; ,False
i was feeling admired,2,non_english; ,False
i feel like i ve terrible we might have been,0,non_english; ,False
i feel its tender touch,2,non_english; ,False
i feel weird looking at it,5,non_english; ,False
i feel so disappointed because i adore the lesn colour,0,non_english; ,False
ive been walking around rez today feeling very dazed,5,non_english; ,False
i feel very strange like its all surreal,5,non_english; ,False
i feel frustrated irritable even,3,non_english; ,False
i feel like my sweet little boy came back after his sadness of not having tag ill screw his life up once again when i leave this week for my trip to cabo that i won for work,2,duplicate_text; ,True
i enter into the thanksgiving and christmas season here on november th i am feeling overwhelmed and i dont want too,5,duplicate_text; ,True
im kind of feeling hot dogs,2,non_english; ,False
i absolutely love it and feel such a sweet bond when we feed,1,duplicate_text; ,True
i feel awfully fond of it,2,non_english; ,False
i have heard from juicers that you need to ride this out for a few days and then you feel amazing,1,duplicate_text; ,True
i had a lot of tests and papers and projects all coming up at the same time and i was feeling very overwhelmed but the last couple days ive experienced one tender mercy after another and so many answers to prayers,4,duplicate_text; ,True
i feel very wronged a href http kikjkde,3,non_english; ,False
i have been feeling gloomy lately,0,non_english; ,False
i just have blank feeling and blank mind now,0,non_english; ,False
i just feel strange lately,5,non_english; ,False
i feel like i will ever do because really i just feel like i m not intelligent enough,1,non_english; ,False
i wake up i feel happy,1,non_english; ,False
i feel like my water just broke,0,non_english; ,False
i like feeling slutty,2,non_english; ,False
i feel like everyone looks at me funny,5,non_english; ,False
i sad because of i feel like i am so useless,0,non_english; ,False
i tell myself not to feel jealous,3,non_english; ,False
im feeling overwhelmed and stressed out and nothing feels right,5,duplicate_text; ,True
i feel lovely,2,duplicate_text; non_english; ,False
i cannot help but feel a strange sense of kinship as though we are secretly one,4,duplicate_text; ,True
i can make me feel agitated in seconds flat,3,duplicate_text; ,True
i feel strange in here,5,non_english; ,False
i am feeling so weird h,4,duplicate_text; non_english; ,False
i always feel so flattered when another amazing blogger asks me to share a little of world on their blog so here it goes,5,duplicate_text; ,True
im feeling a little better,1,non_english; ,False
i ask for joy when i feel sorrowful,0,non_english; ,False
i feel i feel horrible,0,non_english; ,False
im feeling petty,3,non_english; ,False
i have a swelled head the size of my birthday balloon of course but besides that im humbled and inspired and i feel so overwhelmed with wonderful people that i might as well be stuffed to the brim with popcorn,4,duplicate_text; ,True
i am feeling gloomy,0,non_english; ,False
i got home demoralized exhausted and feeling tortured,4,duplicate_text; ,True
i don t feel vulnerable,4,non_english; ,False
i feel very disappointed,0,non_english; ,False
i have this crazy feeling that no one cares or theyll think im weird for thinking certain things or saying certain things,5,duplicate_text; ,True
i can be a great ambassador for my country i feel proud,1,non_english; ,False
i had been feeling weird all week moody and annoyed,4,duplicate_text; ,True
i feel pretty shaken up,4,non_english; ,False
ive been on a bike and this bike it feels kind of strange,5,duplicate_text; ,True
i feel like a violent make out session is in need,3,non_english; ,False
i couldn t even explain what i was feeling all day except for saying that i was overwhelmed,4,duplicate_text; ,True
i have been feeling festive,1,non_english; ,False
ive been feeling so dissatisfied lately,3,non_english; ,False
i need someone there when i feel like i m being a delicate little butterfly,2,non_english; ,False
i applied to medical school with the feeling that if it was meant to be i would be accepted,1,duplicate_text; ,True
i feel extremely frustrated and saddened,3,non_english; ,False
i feel so freaking paranoid about my blog i feel like i am,4,non_english; ,False
i guess im feeling generous today and so i have decided to offer a fabulous deal on of my most popular prints at the moment,1,duplicate_text; ,True
i feel stressed out i design,3,non_english; ,False
i hate feeling like im not strong,1,non_english; ,False
i started feeling overwhelmed again,4,duplicate_text; ,True
i used to blog pretty regularly and i feel kind of strange about the fact that i haven t been,4,duplicate_text; ,True
i was feeling pretty weird because of my dressing that day,4,duplicate_text; ,True
i can feel i asked shocked,5,non_english; ,False
i feel weird now with my collegues,5,non_english; ,False
i feel more passionate about this than others do at least i think so,1,duplicate_text; ,True
i open my eye i feel irritated by my fringe,3,non_english; ,False
i don t feel stressed because over the years i ve developed efficient stress relieving techniques of which the favorite i ll share with you in this post,0,duplicate_text; ,True
i feel overwhelmed with gods love knowing that time and time again i didnt listen to what he wanted to give but he patiently waited for me to be ready and never stopped giving,5,duplicate_text; ,True
i feel agitated and jumpy and like i just ate a bottle of caffeine pills,4,duplicate_text; ,True
i was in my behaviour i was feeling disturbed inside,0,non_english; ,False
i feel like that might be a fake word,0,non_english; ,False
i just feel so frantic,4,non_english; ,False
i feel i am frightened,4,non_english; ,False
im feeling less agitated about the whole thing than i have been,3,duplicate_text; ,True
i had to say i feel so smart,1,non_english; ,False
i do feel irritable having missed aikido,3,non_english; ,False
i get that hot nasty jealous feeling i get so angry at myself,3,non_english; ,False
i started feeling overwhelmed again,5,duplicate_text; ,True
im feeling awfully overwhelmed by everything right now the demands from mother the needs of my family trying to shield my dear husband from as much as possible the list goes on and on,5,duplicate_text; ,True
i am here feeling heartbroken,0,non_english; ,False
i also feel a strange special connection with my body,5,duplicate_text; ,True
i am feeling a little bit broke,0,non_english; ,False
i didn t feel afraid,4,non_english; ,False
i feel so much better tonight,1,non_english; ,False
i don t feel compassionate to certain people,2,non_english; ,False
i could feel its warmth in the strange stillness and it comforted me,5,duplicate_text; ,True
i feel so indecisive all of a sudden,4,non_english; ,False
i feel all weepy again,0,non_english; ,False
i started writing because i wanted to find out as to why i have exactly been feeling weird and thanks to the idea i now knowwww,5,duplicate_text; ,True
im so happy blessed grateful and i feel an amazing level of contentment a peace about the things ive allowed to restrict me,1,duplicate_text; ,True
i feel less aggravated more alienated,3,non_english; ,False
i feel gets irritated quickly,3,non_english; ,False
i am feeling weird ok,5,non_english; ,False
i wasn t even feeling that generous,2,non_english; ,False
i feel soso insecure,4,non_english; ,False
im feeling damn fantastic,1,non_english; ,False
last night,4,non_english; ,False
i feel a strange presence,5,non_english; ,False
i feel angry or sad,3,non_english; ,False
im feeling sad,0,non_english; ,False
i was secretive about it i feel like it would just create this weird atmosphere,5,duplicate_text; ,True
i feel guilty again,0,non_english; ,False
i have no more intimate feelings for him and to me that is weird,5,duplicate_text; ,True
i feel rejected i feel unimportant i feel worthless,0,non_english; ,False
i feel that all sports are unprotected from the media and on an equal playing field,4,duplicate_text; ,True
i feel i have to start loving myself more,2,non_english; ,False
i recognise feel fond of,2,non_english; ,False
i feel badly because he is supporting so much of my weight but i am comfortable so i let it be,2,duplicate_text; ,True
i don t feel afraid i m a nurse i m doing my job,4,non_english; ,False
i feel a strange,5,non_english; ,False
i remember feeling very strange and said i feel like i have had a stroke,5,duplicate_text; non_english; ,False
i feel rebellious wooh,3,non_english; ,False
i am feeling generous today,2,non_english; ,False
i have had hours to adjust i am feeling more relaxed,1,non_english; ,False
i guess i just still feel shaken and not myself,4,non_english; ,False
i am feeling so lame,0,non_english; ,False
i feel strange calling one of the meanest fastest most bad ass birds on earth twitter,5,duplicate_text; ,True
i felt that wet feeling between my legs and thought that was weird so i checked and my underwear was covered in bright red blood,5,duplicate_text; ,True
i answer my tummy feeling funny,5,non_english; ,False
i am warming to it a little you feel strange talking to your phone i so rarely use my phone as a phone that i even feel a little strange talking on it she can also accept text input,5,duplicate_text; ,True
i did not feel it was so since i was with my beloved course blockmates and with krisel around with her hirits i doubt the event will still feel formal,1,duplicate_text; ,True
ive blogged and i feel strange about it,4,non_english; ,False
i look when i feel despised,3,non_english; ,False
i was feeling a little overwhelmed as we all do at times,4,duplicate_text; ,True
i feel gloomy now,0,non_english; ,False
i don t like feeling is vulnerable,4,non_english; ,False
i left feeling a little shaky but i got home okay,4,non_english; ,False
i feel like a zombie longing for some good rest,2,non_english; ,False
i also feel jolly,1,non_english; ,False
i start lord i m feeling apprehensive,4,non_english; ,False
i can feel neurotic,4,non_english; ,False
i sat feeling pretty smug about being made for more,1,non_english; ,False
im feeling brave silly,1,non_english; ,False
i choose to feel amazed,5,non_english; ,False
i feel so strange,5,duplicate_text; non_english; ,False
i feel giggly to be given so much attention,1,non_english; ,False
im feeling fucked,3,non_english; ,False
im feeling like its unimportant or small stupid,0,non_english; ,False
i feel like they look amazing on of women who wear them,1,duplicate_text; ,True
i don t know if it s possible but i still feel weird sometimes almost like withdrawals,4,duplicate_text; ,True
i still feel like id be unwelcome,0,non_english; ,False
i will never forget the feeling of sweet relief and overwhelming joy at seeing the smallest flicker of life on that black and white ultrasound machine,1,duplicate_text; ,True
im feeling good again,1,non_english; ,False
i guess feeling rebellious,3,non_english; ,False
i feel weird offering relationship or marriage advice,5,duplicate_text; ,True
im feeling a bit delicate,2,non_english; ,False
i would find out later so i didn t feel strange wearing shorts,4,duplicate_text; ,True
ill feel shy,4,non_english; ,False
i did not feel surprised at all,5,non_english; ,False
i want to feel like i m talented important,1,non_english; ,False
i need to seek approval from others again to feel like im accepted to feel like i matter,1,duplicate_text; ,True
ive been feeling agitated angry and sad,3,duplicate_text; ,True
i feel i should say a few words about this ludicrous work,5,duplicate_text; ,True
a young,0,non_english; ,False
i meet men who feel insecure about women,4,non_english; ,False
id be lying if i said i didnt feel bothered,3,non_english; ,False
i feel gives a much more delicate and controlled flavour,2,non_english; ,False
i feel amazing so lets go,5,non_english; ,False
im feeling vulnerable and laid bare,4,non_english; ,False
i keep feeling weird sensations img src http s,5,non_english; ,False
i feel like ive fucked things up,3,non_english; ,False
i woke up i was feeling so happy i didnt want to lose time,1,non_english; ,False
i had the most amazing nights sleep ever and woke up feeling amazing as a year old,5,duplicate_text; ,True
i started feeling very strange,4,duplicate_text; non_english; ,False
i like the pretty pictures it makes but i still feel strange using a very thin phone as a camera,4,duplicate_text; ,True
i feel like im being punished for being happy,0,non_english; ,False
i have my bag i feel more paranoid,4,non_english; ,False
i left feeling irate and little upset,3,non_english; ,False
i wouldnt sue id just feel amazed,5,non_english; ,False
i needed the walk anyway to compensate for the lack of mind calming yoga although now im feeling weird about walking about town in yoga clothes because im a poser,5,duplicate_text; ,True
i got up feeling strange very scared,5,duplicate_text; non_english; ,False
i feel this ad does i m not impressed,5,non_english; ,False
i feel a little like i m being greedy,3,non_english; ,False
i got back to my castle i realised why i was feeling weird i hadn t taken my medication,4,duplicate_text; ,True
i feel a bit agitated,3,non_english; ,False
i began to feel very vulnerable,4,non_english; ,False
i feel paranoid of,4,non_english; ,False
i feel like he doesnt like me or is mad,3,non_english; ,False
i think that maybe we d shiver less if we shivered together but i feel weird suggesting that,5,duplicate_text; ,True
i still did not feel stressed,0,non_english; ,False
i feel a lot more confident now,1,non_english; ,False
i feel adversarial and hostile,3,non_english; ,False
i was feeling very impressed,5,non_english; ,False
i am already feeling so tortured for having to wait for the results i need to sleep early coz i wake up at am these days,4,duplicate_text; ,True
i feel like im not supportive enough,2,non_english; ,False
i feel are suspicious,4,non_english; ,False
