target,text,reason,lang_reason
4,@DawnRichard THANKS LUV...KEEP THE GRIND GOING (LIKE I KNOW U WILL)...STAY POSITIVE (LIKE U ALWAYS DO) AND PRAY 2 THE NIPPLE GODS! ,,
0,I feel like watching The Life Aquatic. But I don't own it ,,
0,So aparentally early this morning Erol died of a heart attack while in the shower. Sad news. ,,
0,"Chopchop, get dressed! Getting ready for work ",,
4,@misshaleymae You know it baby ! x ,,
4,Morning Tweoples!! Hope everyone enjoys their Monday! Got to work early today -- Migrane and all! *star* employee ehh? LOL ,,
4,@vickyjones91 yeah i thought like tht for Jonas. i was happy they played MEN tho i love Manchester ,,
0,I suppose I will do more vacation research alone since no one looooves me ,,
4,@dieverdog I got the same two hits. the phone must have needed to reset or something. ,,
0,"hanging out with the sis today. It's rainy, though ",,
0,TTP make me stresso.. nyebelin ahh! udh cape2 juga.. ,non_english; ,non_english; 
0,@MollieOfficial You know it wasn't as good as oxford mollie. I cant make woverhampton cos im going to france  ,,
4,@JonFTW flad I didn't have to cut my grass today ,,
4,@ursulas I thought Legends of the Fall is a great movie. ,,
4,I GOT INTO JV CHEEEEERRRR!!!!!!!!!       ,,
0,"@dougiemcfly please, don't go away from Brazil ",,
4,charles is snoring funny. what a cutie  wish i was sleeping as well!,,
4,@chuckwelch in favor of red lights... and cameras... just not red-light- cameras.  ,,
0,@theboaters Not been on my boats in 4 and 11 months respectively so will need major waxing &amp; bottom cleaning I am sure ,,
0,@just_J_ i love bobby longs music ! Although i can't find it anywhere to download it ,,
0,lots of stuff to do today blah ,mixed_language; ,mixed_language; 
0,has been a college grad for two years and two days ,,
4,@keza34 i am i have a great twitter family around me  x,,
4,in my faourite car with the missing top ,,
0,I am so tired ,,
4,I am definitely a gaysian. ,,
4,@Daniel_Cool18 @LeeshRivera why won't u guys show ur faces? haha! ,,
4,@mmkrill Brings back memories ,non_english; ,non_english; 
4,@joesentoso wow so sweet . thank u Joe ,,
0,@xoAdrianne how am i gonna find you downtown? ,,
0,The movie was awesome ,,
4,@YoungQ You need an ASSISTANT  my resume is is extnsive AND I have yrs of exprnce in chairty work ( blockdreamers ,,
4,@Riannax3 hiiiiiiiiii i'm following you ,,
4,@hfiguiere you should svn up the Subversion sources ,,
4,just got back from the beach. Great day  I love it!,,
4,"At the library, working on a paper...Got almost 3 pages done yet ",,
4,@derrickhoh Can show us the pic of ur new shoe? Hehe. Thanks. ,,
0,@saudarilee It was a pleasure &quot;babysitting&quot; 2/3 of your triplets. I'm sorry abt what  happened to Jannah! I'm still feeling guilty abt it ,,
4,On another adventure with Sam.  Gonna go watch planes tonight.,,
4,@timmybrister that book title is an oxymoron ,,
4,"@metaglyph Serious illiteration there, mate. Hope less of the 'I' words today ",,
4,"Going to sleep , Have a great day to everyone ",,
0,I was about to move to phoenix because of that  @pauval,,
0,"wow, i can't believe a tornado caused damage to southlands mall.  scary",,
4,Thanks for the votes ppl! ,,
4,listen to here: here we go again with demi lovato  cool song  @ddlovato,,
4,"@Jassy1015JamZ Happy Earthday!  Get those discounts &amp; free crapola! hehe Dang, is everybody born in May? My Bday is coming up soon too. ",,
0,@yayitsnina I can't go this Saturday I'm gonna be out of town ,,
4,All of these awesome celebrities are having summer concerts &amp; I want to go to all of them ,,
0,@argamando Hey I got ur text but I cannot respond...no phone until tomorrow ,,
4,@clarketony im waiting too ,,
4,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,,
4,@AshelyLeAnn That's awesome! It was really great. I'm so glad I was invited ,,
4,@hughsbeautiful It is very cool isn't it  You still haven't bought it... tut tut!!,,
0,Morning twitters! Woke up sick ,,
4,@tim_crangle Are you French/speak French? ,,
0,I have hurt my finger very badly ,,
4,"@YESandME of course we found you, we had the best NKCIA on the job!  You KNOW you LOVE US!!! ",,
4,Getting ready for church tonight. ,,
4,@MandyPandy32 Fab voice hasnt she  xx,,
0,Leave me alone! ,,
4,@IvyBean104 Good Morning Ivy enjoy your reading. ,,
4,@ninalicious I wish all women had the same feeling - not just the preggers ones ,,
4,"@Mariafh  good morning, twittering from tweetdeck. Awesome app! ",,
0,"omg i just thought about it.. i literally only have three more day left of school. this year went by so fast, i think i might miss it ",,
4,i got broadband  its real fast. WOW!,,
0,"upp , cant waitt till town today . wish i was at sherwood forest ",,
0,b;ah blah blah.. single for two weeks now ,non_english; ,non_english; 
4,@SweetandDark okay!  i'll try it! thankyou!,,
4,"@jmalonzo Nice! I never really learned to speak Ilocano because my parents didn't want us to. Besides, I can't roll my Rs. ",,
0,@DJGigiDred no really...I called the police. I got knocked dowwn in the fight. My knees hurt!  there goes my bday bash! Lol.,,
0,i just realized that i cannot play halo successfully.  utter sadness ensues.,,
0,"@TheRealSavage: well lol, i don't always, but i did last night. some of that good sleep too, finally. i've been having bad sinus problems ",,
4,@grimesforever i'm sensing a much needed trip to dead city. we're setting up the home studio this week too - even more reason to join us ,,
4,That was a cool site!  ,,
4,@simonkay Hey! I'm back down south on monday but back up in the week after. We'll sort something out. ,,
4,Goin to philly now ,,
0,"Lots of tech support roles for the banking industry, needing experience in the sector! ",,
0,another bank holiday but ive still gotta go to work  dont think ive had a bank holiday yet this year!,,
0,HOPES ZACKS MOM MAKES IT HOME OK... SHE'S REALLY LOSING HER WAY  GOODNIGHT MY PEOPLE,,
4,g'nite tweets  heading to NC tomorrow not sure how my connectivity will be...on the berry or wifi so...keep me in your twayers :o),,
0,@ashkhawsy I told you imma be down there but I don't think you want me. ,,
4,"@tddennis wow... That's really late. My friend used to play in a league there too. No, Shauna is from there though, that's all ",,
4,@thefabriclab I feel ya my hamper oveflowing in my bedroom not to mention all the cloth diapers are dirty-happy Friday ,,
4,"@gregs aww, thx sweetie. you know what they say - tea solves all of life's problems. ",,
4,@BernNotice not sure. I should be there soon though so I'll let u know! ,,
0,just found out my brother has been in the hospital since Tuesday night and nobody bothered to tell the rest of the family...gggrrrr ,,
0,Twitterrific hasn't worked on my iPhone in 4 days. Anyone else have this problem &amp; a fix? ,,
0,@InfinityCircle it says he is over his Tweet limit...but in reality...he is far from it...2nd time today ,,
4,"@AlanCarr I absolutely love the ads for it.  They're kinda scary and wrong, but really funny.  Ooh, fingermouse ",,
0,ok but talk more often ,,
4,"Shout out to my new followers! I'm very random, I'm married to a man name Music Last name Hip-Hop!  Tweet with me, no Stalking allowed ",,
4,"@marlinex Almost missed the No Kill I reference!   You were up LATE last night, eh?",,
0,They spilled mad champagne on my laptop hopefully it still work ,,
4,got some sweet birthday gifts. ,,
4,@farabovetheclou @KeepWerking .....and draw hearts with Ralf's name inside! ,,
4,Interesting article &amp; links at ChristianPF - How to Make Money with a Blog   http://bit.ly/7l9s1,,
4,watching youtube videos with amy! ,,
4,"@mikkelpitzner Thanks for visiting IMC Blog, Mikkel! Please drop by again ",,
0,@theDebbyRyan U r so awesome I love u on suite life. U haven't been on it for the last 2 episodes. ,,
4,Back from Ohio. 100k of fun  time for bed,,
0,i miss you. ,non_english; ,non_english; 
0,...too wired to sleep.  not cool.,,
4,$170 for a full head of bleached foils and cut. That's suprisingly cheap. Will have lighter hair on Friday~ Yoshhhh. ,,
0,GRAD IN 11 DAYS!  im gonna miss all my classmates soo much      :'(,,
0,Was kicked out of the concert @ the zoo amp last night for fighting ,,
4,again a very long weekend!! ,,
4,Ow..ow..ow.. Surprisingly there's NO traffic in sudirman at this time  wooohhhoooooooo...,,
4,is playing on halo 3 ,,
0,@heathirmarie he was supposed to throw a bullpen tomorrow off a mound; said he was feeling great; then all of a sudden felt bad. It sucks ,,
4,"Mmmm, Chinese food!!!! ",,
0,@sillybabyjulie how was it? I might not have a job now ,,
0,I know we aren't suppose to ask 'why me?' but WHY ME....... maybe I'm just feeling sorry for myself cause I still feel crappy... ,,
4,"@RockingtheRobin Well, you distracted yourself now. That's good.  ",,
4,"@kyle270 Orite  haha, i'm stood with sara and lauren from your school  haha, love you xx",,
